city,state,population,lat,lng,index
Tacoma,Washington,203446,47.253671,-122.444335,106
Oxnard,California,203007,34.205247,-119.174092,107
Columbus,Georgia,202824,32.472864,-84.97823,109
Moreno Valley,California,201175,33.88274,-117.224878,111
Shreveport,Louisiana,200327,32.498202,-93.750228,112
Aurora,Illinois,199963,41.747452,-88.238622,113
Yonkers,New York,199766,40.946107,-73.866926,114
Akron,Ohio,198100,41.04349,-81.524017,115
Huntington Beach,California,197575,33.640302,-117.769442,116
Little Rock,Arkansas,197357,34.746905,-92.280049,117
Augusta-Richmond County,Georgia,197350,33.456687,-81.969184,118
Glendale,California,196021,34.17051,-118.289463,120
Mobile,Alabama,194899,30.701142,-88.103184,121
Grand Rapids,Michigan,192294,42.984226,-85.629101,122
Salt Lake City,Utah,191180,40.7765233,-112.0605702,123
Tallahassee,Florida,186411,30.427753,-84.258472,124
Huntsville,Alabama,186254,34.718428,-86.556439,125
Grand Prairie,Texas,183372,32.776671,-97.009389,126
Knoxville,Tennessee,183270,36.032334,-83.884804,127
Worcester,Massachusetts,182544,42.265275,-71.879415,128
Newport News,Virginia,182020,37.058296,-76.463471,129
Overland Park,Kansas,181260,39.02315,-94.669467,131
Santa Clarita,California,179590,34.440891,-118.501748,132
Providence,Rhode Island,177994,41.82275,-71.414451,133
Garden Grove,California,175140,33.787165,-117.931889,134
Chattanooga,Tennessee,173366,35.017818,-85.206426,135
Oceanside,California,172794,33.016928,-116.846046,136
Fort Lauderdale,Florida,172389,26.121323,-80.127909,138
Santa Rosa,California,171990,38.450412,-122.783159,139
Port St. Lucie,Florida,171016,27.2899651,-80.4329752,141
Tempe,Arizona,168228,33.401395,-111.931298,142
Vancouver,Washington,167405,45.678996,-122.720499,144
Springfield,Missouri,164122,37.25807,-93.343673,147
Peoria,Arizona,162592,33.573244,-112.245852,148
Pembroke Pines,Florida,162329,26.021239,-80.340396,149
Elk Grove,California,161007,38.44148,-121.307142,150
Salem,Oregon,160614,44.94878,-123.003655,151
Lancaster,California,159523,34.713292,-118.15292,152
Eugene,Oregon,159190,44.060644,-123.1925906,154
Palmdale,California,157161,34.408383,-118.123597,155
Salinas,California,155662,36.64152,-121.622188,156
Springfield,Massachusetts,153703,42.170731,-72.604842,157
Pasadena,Texas,152735,29.83399,-95.434241,158
Fort Collins,Colorado,152061,40.594597,-105.127416,159
Hayward,California,151574,37.680181,-121.921498,160
Pomona,California,151348,34.042286,-117.756106,161
Cary,North Carolina,151088,35.763369,-78.788169,162
Rockford,Illinois,150251,42.33342,-89.157198,163
Alexandria,Virginia,148892,38.819853,-77.059645,164
Escondido,California,148738,33.102005,-117.08042,165
McKinney,Texas,148559,33.141438,-96.588295,166
Kansas City,Kansas,148483,39.103053,-94.630384,167
Joliet,Illinois,147806,41.509668,-88.180211,168
Sunnyvale,California,147559,37.371647,-122.023153,169
Torrance,California,147478,33.835665,-118.303805,170
Bridgeport,Connecticut,147216,41.308873,-73.363661,171
Lakewood,Colorado,147214,39.744773,-105.115977,172
Hollywood,Florida,146526,26.027459,-80.120219,173
Paterson,New Jersey,145948,40.911999,-74.170965,174
Naperville,Illinois,144864,41.759029,-88.152381,175
Syracuse,New York,144669,43.02143,-76.197701,176
Mesquite,Texas,143484,32.777779,-96.62315,177
Dayton,Ohio,143355,39.750471,-84.268593,178
Savannah,Georgia,142772,32.074679,-81.088261,179
Clarksville,Tennessee,142357,36.522633,-87.334932,180
Orange,California,139969,33.640302,-117.769442,181
Pasadena,California,139731,33.786594,-118.298662,182
Fullerton,California,138981,33.879768,-117.896341,183
Frisco,Texas,136791,33.146336,-96.856347,185
Hampton,Virginia,136699,37.072658,-76.38992,186
Warren,Michigan,134873,42.474786,-82.995121,188
Bellevue,Washington,133992,47.615471,-122.207221,189
West Valley City,Utah,133579,40.6785654,-112.0772067,190
Columbia,South Carolina,133358,33.987454,-81.024864,191
Olathe,Kansas,131885,38.899901,-94.831991,192
Sterling Heights,Michigan,131224,42.564395,-83.068475,193
New Haven,Connecticut,130660,41.365709,-72.927507,194
Miramar,Florida,130288,25.987314,-80.232271,195
Thousand Oaks,California,128731,34.032383,-119.1343,197
Cedar Rapids,Iowa,128429,41.976612,-91.657578,198
Charleston,South Carolina,127999,32.780326,-79.940844,199
Visalia,California,127763,36.303793,-119.375646,200
Topeka,Kansas,127679,38.988075,-95.780662,201
Elizabeth,New Jersey,127558,40.672052,-74.183438,202
Gainesville,Florida,127488,29.648993,-82.324515,203
Thornton,Colorado,127359,39.868041,-104.971924,204
Roseville,California,127035,38.74073,-121.25603,205
Carrollton,Texas,126700,32.962473,-96.89817,206
Coral Springs,Florida,126604,26.2700037,-80.2847225,207
Stamford,Connecticut,126456,41.054082,-73.536216,208
Simi Valley,California,126181,34.032383,-119.1343,209
Concord,California,125880,37.953672,-122.022872,210
Hartford,Connecticut,125017,41.78007,-72.677099,211
Kent,Washington,124435,47.405479,-122.195772,212
Lafayette,Louisiana,124276,30.24171,-91.991044,213
Surprise,Arizona,123546,33.640996,-112.37833,215
Denton,Texas,123099,33.220974,-97.146038,216
Victorville,California,121096,34.480247,-117.408186,217
Evansville,Indiana,120310,37.997128,-87.574963,218
Santa Clara,California,120245,37.351158,-121.952295,219
Athens-Clarke County,Georgia,119980,33.992902,-83.353697,221
Vallejo,California,118837,38.18735,-122.224074,222
Allentown,Pennsylvania,118577,40.602658,-75.469236,223
Norman,Oklahoma,118197,35.208566,-97.44451,224
Independence,Missouri,117240,39.107798,-94.409828,226
Murfreesboro,Tennessee,117044,35.762951,-86.372158,227
Ann Arbor,Michigan,117025,42.266638,-83.849042,228
Berkeley,California,116768,37.860576,-122.29673,230
Provo,Utah,116288,40.235053,-111.695558,232
El Monte,California,115708,34.078573,-118.043456,233
Columbia,Missouri,115276,38.894165,-92.274145,234
Lansing,Michigan,113972,42.599184,-84.371973,235
Fargo,North Dakota,113658,46.927094,-96.834703,236
Downey,California,113242,33.786594,-118.298662,237
Costa Mesa,California,112174,33.678399,-117.911715,238
Wilmington,North Carolina,112067,34.271985,-77.963628,239
Arvada,Colorado,111707,39.522014,-105.223945,240
Inglewood,California,111542,33.956526,-118.358654,241
Miami Gardens,Florida,111378,25.942038,-80.245605,242
Carlsbad,California,110972,33.144219,-117.319439,243
Westminster,Colorado,110945,39.830822,-105.03747,244
Rochester,Minnesota,110742,44.075285,-92.516916,245
Manchester,New Hampshire,110378,42.988483,-71.462111,247
Elgin,Illinois,110145,42.034492,-88.238396,248
West Jordan,Utah,110077,40.622887,-111.964564,249
Round Rock,Texas,109821,30.501747,-97.647206,250
Clearwater,Florida,109703,27.978147,-82.781523,251
Waterbury,Connecticut,109676,41.365709,-72.927507,252
Gresham,Oregon,109397,45.508117,-122.430233,253
Fairfield,California,109320,38.278428,-122.020276,254
Billings,Montana,109059,45.686966,-108.387392,255
Lowell,Massachusetts,108861,42.656045,-71.303309,256
San Buenaventura (Ventura),California,108817,34.330829,-119.358352,257
Pueblo,Colorado,108249,38.293234,-104.536493,258
High Point,North Carolina,107741,35.954467,-79.987882,259
West Covina,California,107740,34.066964,-117.937007,260
Richmond,California,107571,37.947523,-122.384032,261
Murrieta,California,107479,33.548299,-117.344739,262
Cambridge,Massachusetts,107289,42.380442,-71.132947,263
Antioch,California,107100,37.996501,-121.812301,264
Norwalk,California,106589,33.906763,-118.076549,266
Centennial,Colorado,106114,39.62732,-104.779035,267
Everett,Washington,105370,47.988661,-122.199795,268
Palm Bay,Florida,104898,28.031367,-80.600412,269
Green Bay,Wisconsin,104779,44.5228598,-88.1305792,271
Daly City,California,104739,37.687509,-122.438783,272
Burbank,California,104709,34.200993,-118.292773,273
Richardson,Texas,104475,32.962811,-96.726826,274
Pompano Beach,Florida,104410,26.234772,-80.120584,275
North Charleston,South Carolina,104054,32.853019,-79.991295,276
Broken Arrow,Oklahoma,103500,36.0184,-95.8477159,277
Boulder,Colorado,103166,40.049468,-105.201421,278
West Palm Beach,Florida,102436,26.759141,-80.08426,279
Santa Maria,California,102216,34.875832,-120.340795,280
El Cajon,California,102211,32.776012,-116.880634,281
Davenport,Iowa,102157,41.521038,-90.574849,282
Rialto,California,101910,34.111606,-117.377406,283
Las Cruces,New Mexico,101324,32.290052,-106.753893,284
San Mateo,California,101128,37.573485,-122.32253,285
Lewisville,Texas,101074,33.20743,-97.116282,286
South Bend,Indiana,100886,41.673383,-86.251654,287
Lakeland,Florida,100710,28.035908,-81.899669,288
Erie,Pennsylvania,100671,42.121293,-80.088919,289
Pearland,Texas,100065,29.561554,-95.279739,291
College Station,Texas,100050,30.609093,-96.325984,292
Kenosha,Wisconsin,99889,42.622449,-87.830375,293
Sandy Springs,Georgia,99770,33.924269,-84.378538,294
Clovis,California,99769,36.825296,-119.68019,295
Flint,Michigan,99763,42.965926,-83.780835,296
Roanoke,Virginia,98465,37.274175,-79.95786,297
Albany,New York,98424,42.614852,-73.970812,298
Jurupa Valley,California,98030,33.9920436,-117.5308193,299
Compton,California,97877,33.874815,-118.240208,300
Hillsboro,Oregon,97368,45.458397,-122.977963,302
Renton,Washington,97003,47.446982,-122.201521,304
Vista,California,96929,33.19784,-117.248203,305
Davie,Florida,96830,26.067529,-80.275056,306
Greeley,Colorado,96539,40.384991,-104.680631,307
Mission Viejo,California,96346,33.698343,-117.754523,308
Portsmouth,Virginia,96205,36.811498,-76.367715,309
Dearborn,Michigan,95884,42.310037,-83.177625,310
South Gate,California,95677,34.110141,-117.866431,311
Livonia,Michigan,95208,42.369351,-83.371753,313
New Bedford,Massachusetts,95078,41.633416,-70.951045,314
Vacaville,California,94275,38.333133,-121.920151,315
Brockton,Massachusetts,94089,42.0843627,-71.0977036,316
Roswell,Georgia,94034,34.055198,-84.370475,317
Beaverton,Oregon,93542,45.496289,-122.800146,318
Quincy,Massachusetts,93494,42.241799,-71.006042,319
Sparks,Nevada,93282,39.540398,-119.749111,320
Yakima,Washington,93257,46.722625,-120.406039,321
Lee's Summit,Missouri,93184,38.9254717,-94.5278284,322
Federal Way,Washington,92734,47.307713,-122.315773,323
Carson,California,92599,33.813317,-118.261154,324
Santa Monica,California,92472,34.013666,-118.49375,325
Allen,Texas,92020,33.089587,-96.607767,327
Rio Rancho,New Mexico,91956,35.268498,-106.783682,328
Westminster,California,91739,33.75245,-117.993904,330
Orem,Utah,91648,40.311353,-111.72496,331
Lynn,Massachusetts,91589,42.461246,-70.946743,332
Spokane Valley,Washington,91113,47.629296,-117.254657,334
Miami Beach,Florida,91026,25.558428,-80.458168,335
League City,Texas,90983,29.496451,-95.052262,336
Lawrence,Kansas,90811,39.023294,-95.208909,337
Santa Barbara,California,90412,34.421897,-119.707135,338
Plantation,Florida,90268,26.127586,-80.233104,339
Sandy,Utah,90231,40.577106,-111.889047,340
Sunrise,Florida,90116,26.151416,-80.226211,341
Longmont,Colorado,89919,40.164837,-105.103179,343
Boca Raton,Florida,89407,26.375954,-80.10717,344
San Marcos,California,89387,33.170778,-117.158674,345
Greenville,North Carolina,89130,35.580444,-77.392609,346
Waukegan,Illinois,88826,42.322814,-87.610053,347
Fall River,Massachusetts,88697,41.726343,-71.120746,348
Newton,Massachusetts,87971,42.353696,-71.188149,350
San Leandro,California,87965,37.715629,-122.158621,351
Reading,Pennsylvania,87893,40.357242,-75.940153,352
Norwalk,Connecticut,87776,41.126146,-73.442423,353
Newport Beach,California,87273,33.640302,-117.769442,355
Asheville,North Carolina,87236,35.602711,-82.567281,356
Nashua,New Hampshire,87137,42.741295,-71.458793,357
Edmond,Oklahoma,87004,35.674777,-97.499681,358
Whittier,California,86635,34.004311,-118.0441,359
Nampa,Idaho,86518,43.595567,-116.61063,360
Bloomington,Minnesota,86319,44.8243306,-93.368097,361
Deltona,Florida,86290,28.900274,-81.245074,362
Hawthorne,California,86199,33.914775,-118.348083,363
Duluth,Minnesota,86128,47.005566,-92.001934,364
Carmel,Indiana,85927,39.962604,-86.174761,365
Suffolk,Virginia,85728,36.874916,-76.553061,366
Clifton,New Jersey,85390,40.877949,-74.141237,367
Citrus Heights,California,85285,38.689802,-121.26736,368
Livermore,California,85156,37.526661,-121.583391,369
Tracy,California,84691,37.737191,-121.433384,370
Alhambra,California,84577,34.090728,-118.127527,371
Kirkland,Washington,84430,47.673263,-122.187029,372
Trenton,New Jersey,84349,40.280531,-74.712018,373
Ogden,Utah,84249,41.244261,-112.007924,374
Hoover,Alabama,84126,33.405387,-86.811378,375
Cicero,Illinois,84103,41.838036,-87.75987,376
Fishers,Indiana,83891,39.95559,-86.01387,377
Sugar Land,Texas,83860,29.620312,-95.605693,378
Danbury,Connecticut,83684,41.376242,-73.471416,379
Meridian,Idaho,83596,43.579067,-116.421656,380
Concord,North Carolina,83506,35.371633,-80.562141,382
Menifee,California,83447,33.658592,-117.173618,383
Buena Park,California,82882,33.852737,-118.0414576,385
Troy,Michigan,82821,42.606088,-83.297593,386
O'Fallon,Missouri,82809,38.7695,-90.72902,387
Johns Creek,Georgia,82788,34.0378632,-84.2619865,388
Bellingham,Washington,82631,48.754092,-122.508129,389
Westland,Michigan,82578,42.333901,-83.384209,390
Bloomington,Indiana,82575,39.07881,-86.435094,391
Warwick,Rhode Island,81971,41.70247,-71.47902,393
Hemet,California,81750,33.667301,-116.963506,394
Farmington Hills,Michigan,81295,42.502483,-83.408935,396
Bend,Oregon,81236,44.082037,-121.227125,397
Lakewood,California,81121,33.786594,-118.298662,398
Merced,California,81102,37.345785,-120.42415,399
Chino,California,80988,33.953755,-117.639209,401
Redwood City,California,80872,37.381144,-122.334825,402
Cranston,Rhode Island,80566,41.7917,-71.435251,404
Parma,Ohio,80429,41.404774,-81.722909,405
New Rochelle,New York,79446,40.91757,-73.784858,406
Lake Forest,California,79312,33.64079,-117.693074,407
Napa,California,79068,38.442011,-122.23832,408
Hammond,Indiana,78967,41.691701,-87.510921,409
Fayetteville,Arkansas,78960,35.974602,-94.190997,410
Avondale,Arizona,78822,33.4356,-112.3496,412
Somerville,Massachusetts,78804,42.38092,-71.098896,413
Palm Coast,Florida,78740,29.466085,-81.282815,414
Bryan,Texas,78709,30.639285,-96.362454,415
Gary,Indiana,78450,41.590686,-87.319937,416
Largo,Florida,78409,27.916998,-82.802668,417
Brooklyn Park,Minnesota,78373,45.1087975,-93.4103565,418
Tustin,California,78327,33.73401,-117.819157,419
Racine,Wisconsin,78199,42.727153,-87.675979,420
Deerfield Beach,Florida,78041,26.311102,-80.09787,421
Lynchburg,Virginia,78014,37.359607,-79.141653,422
Mountain View,California,77846,37.189396,-121.705327,423
Medford,Oregon,77677,42.265974,-122.900832,424
Lawrence,Massachusetts,77657,42.70734,-71.161052,425
Bellflower,California,77593,33.888014,-118.12965,426
Melbourne,Florida,77508,28.079357,-80.623618,427
St. Joseph,Missouri,77147,39.765442,-94.844432,428
Camden,New Jersey,76903,39.80237,-74.938259,429
St. George,Utah,76817,37.185679,-113.609837,430
Kennewick,Washington,76762,46.212306,-119.155671,431
Baldwin Park,California,76635,34.08529,-117.9609,432
Chino Hills,California,76572,33.9938,-117.75888,433
Alameda,California,76419,37.770563,-122.264779,434
Arlington Heights,Illinois,75994,42.11278,-87.979542,436
Scranton,Pennsylvania,75806,41.401881,-75.637626,437
Evanston,Illinois,75570,42.049148,-87.702155,438
Kalamazoo,Michigan,75548,42.264543,-85.561545,439
Baytown,Texas,75418,29.733283,-94.994123,440
Upland,California,75413,34.141146,-117.655583,441
Springdale,Arkansas,75229,36.16722,-94.240112,442
Bethlehem,Pennsylvania,75018,40.58883,-75.351958,443
Schaumburg,Illinois,74907,41.811929,-87.68732,444
Mount Pleasant,South Carolina,74885,32.847273,-79.820563,445
Auburn,Washington,74860,47.309496,-122.264469,446
San Ramon,California,74513,37.768556,-121.975531,448
Pleasanton,California,74110,37.646081,-121.862128,449
Wyoming,Michigan,74100,42.897707,-85.692805,450
Plymouth,Minnesota,73987,45.010519,-93.455509,452
Bolingbrook,Illinois,73936,41.7006,-88.075006,453
Appleton,Wisconsin,73596,44.275702,-88.370856,455
Gastonia,North Carolina,73209,35.284018,-81.189693,456
Folsom,California,73098,38.666597,-121.141636,457
Southfield,Michigan,73006,42.496949,-83.291078,458
Rochester Hills,Michigan,72952,42.724318,-83.147306,459
New Britain,Connecticut,72939,41.666049,-72.778391,460
Goodyear,Arizona,72864,33.373698,-112.410262,461
Canton,Ohio,72535,40.782408,-81.371185,462
Union City,California,72528,37.59577,-122.01913,464
Perris,California,72326,33.787292,-117.320674,465
Manteca,California,71948,37.807297,-121.177601,466
Iowa City,Iowa,71591,41.634209,-91.49905,467
Wilmington,Delaware,71525,39.727113,-75.547844,469
Lynwood,California,71371,33.924538,-118.202954,470
Loveland,Colorado,71334,40.364469,-105.179966,471
Pawtucket,Rhode Island,71172,41.875149,-71.392732,472
Boynton Beach,Florida,71097,26.645895,-80.430269,473
Waukesha,Wisconsin,71016,43.022155,-88.204676,474
Gulfport,Mississippi,71012,30.382966,-89.102426,475
Apple Valley,California,70924,34.571446,-117.133076,476
Passaic,New Jersey,70868,40.855103,-74.126916,477
Rapid City,South Dakota,70812,44.145868,-103.206866,478
Layton,Utah,70790,41.088889,-111.92614,479
Lafayette,Indiana,70373,40.417778,-86.889633,480
Turlock,California,70365,37.474396,-120.875918,481
Muncie,Indiana,70316,40.142124,-85.389874,482
Missouri City,Texas,70185,29.529062,-95.530597,484
Redlands,California,69999,34.011935,-117.159696,485
Santa Fe,New Mexico,69976,35.697473,-105.982146,486
Lauderhill,Florida,69813,26.140364,-80.213381,487
Milpitas,California,69783,37.436454,-121.861989,488
Palatine,Illinois,69350,42.097976,-88.014072,489
Missoula,Montana,69122,46.856398,-114.014338,490
Rock Hill,South Carolina,69103,34.909109,-81.052437,491
Jacksonville,North Carolina,69079,34.754586,-77.507427,492
Franklin,Tennessee,68886,35.890746,-86.965691,493
Flagstaff,Arizona,68667,35.287661,-111.639303,494
Flower Mound,Texas,68609,33.026795,-97.119331,495
Weston,Florida,68388,26.11363,-80.41699,496
Union City,New Jersey,68247,40.77955,-74.02375,498
Mount Vernon,New York,68224,40.909838,-73.83389,499
Rancho Cordova,California,67911,38.604269,-121.280328,502
Redondo Beach,California,67815,33.830006,-118.387124,503
Pasco,Washington,67599,46.42066,-118.899447,505
St. Charles,Missouri,67569,38.858035,-90.463316,506
Eau Claire,Wisconsin,67545,44.75653,-91.473097,507
North Richland Hills,Texas,67317,32.666109,-97.134077,508
Bismarck,North Dakota,67034,46.816035,-100.700296,509
Yorba Linda,California,67032,33.640302,-117.769442,510
Kenner,Louisiana,66975,29.99171,-90.258065,511
Walnut Creek,California,66900,37.873343,-122.070625,512
Frederick,Maryland,66893,39.443551,-77.33294,513
Oshkosh,Wisconsin,66778,44.062886,-88.535694,514
Pittsburg,California,66695,38.00307,-121.917219,515
Palo Alto,California,66642,37.444122,-122.149915,516
Bossier City,Louisiana,66333,32.573112,-93.699378,517
Portland,Maine,66318,43.658784,-70.262393,518
St. Cloud,Minnesota,66297,45.519196,-94.330619,519
Davis,California,66205,38.55413,-121.798469,520
South San Francisco,California,66174,37.6536867,-122.4580622,521
Camarillo,California,66086,34.227855,-119.079869,522
North Little Rock,Arkansas,66075,34.7850143,-92.3912196,523
Schenectady,New York,65902,42.833261,-74.058015,524
Gaithersburg,Maryland,65690,39.139336,-77.182953,525
Woodbury,Minnesota,65656,44.923855,-92.95938,527
Eagan,Minnesota,65453,44.8185996,-93.2365036,528
Yuba City,California,65416,39.048854,-121.612481,529
Maple Grove,Minnesota,65415,45.127446,-93.445399,530
Youngstown,Ohio,65184,41.017082,-80.802854,531
Skokie,Illinois,65176,42.035259,-87.729928,532
Kissimmee,Florida,65173,28.30639,-81.425522,533
Johnson City,Tennessee,65123,36.330485,-82.317625,534
San Clemente,California,65040,33.42362,-117.606843,536
Bayonne,New Jersey,65028,40.670858,-74.109486,537
Laguna Niguel,California,64652,33.640302,-117.769442,538
East Orange,New Jersey,64544,40.77185,-74.207039,539
Shawnee,Kansas,64323,39.0161211,-94.8772902,540
Homestead,Florida,64079,25.526889,-80.499812,541
Rockville,Maryland,64072,39.143979,-77.207617,542
Delray Beach,Florida,64072,26.457598,-80.081614,543
Janesville,Wisconsin,63820,42.738888,-89.0403,544
Conway,Arkansas,63816,35.065889,-92.362875,545
Pico Rivera,California,63771,33.985812,-118.088787,546
Lorain,Ohio,63710,41.450991,-82.166534,547
Montebello,California,63495,34.00946,-118.10535,548
Lodi,California,63338,38.111356,-121.172415,549
New Braunfels,Texas,63279,29.696878,-98.070726,550
Marysville,Washington,63269,48.049576,-122.161951,551
Tamarac,Florida,63155,26.185954,-80.172424,552
Madera,California,63105,36.928286,-120.182423,553
Conroe,Texas,63032,30.307375,-95.438548,554
Santa Cruz,California,62864,37.052748,-122.111126,555
Eden Prairie,Minnesota,62603,44.850563,-93.440429,556
Cheyenne,Wyoming,62448,41.195479,-105.84162,557
Daytona Beach,Florida,62316,29.194,-81.047652,558
Alpharetta,Georgia,62298,34.112373,-84.30205,559
Hamilton,Ohio,62258,39.425137,-84.472925,560
Waltham,Massachusetts,62227,42.388938,-71.2398,561
Coon Rapids,Minnesota,62103,45.1655637,-93.3896956,562
Haverhill,Massachusetts,62088,42.792639,-71.072501,563
Council Bluffs,Iowa,61969,41.23238,-95.875086,564
Taylor,Michigan,61817,42.245837,-83.249067,565
Utica,New York,61808,43.077369,-75.233208,566
Ames,Iowa,61792,42.037879,-93.600254,567
La Habra,California,61653,33.942708,-117.952483,568
Encinitas,California,61588,33.016928,-116.846046,569
Burnsville,Minnesota,61434,44.730944,-93.291381,571
Greenville,South Carolina,61397,34.848567,-82.402871,572
West Des Moines,Iowa,61255,41.567138,-93.717232,573
Cedar Park,Texas,61238,30.503949,-97.8242,574
Tulare,California,61170,36.133527,-119.299856,575
Monterey Park,California,61085,34.052922,-118.143465,576
Vineland,New Jersey,61050,39.495524,-75.008665,577
Terre Haute,Indiana,61025,39.433602,-87.410094,578
North Miami,Florida,61007,25.890095,-80.186714,579
Mansfield,Texas,60872,32.56319,-97.14168,580
West Allis,Wisconsin,60697,43.016681,-88.007032,581
Bristol,Connecticut,60568,41.681198,-72.939577,582
Taylorsville,Utah,60519,40.65353,-112.013394,583
Malden,Massachusetts,60509,42.436545,-71.085396,584
Meriden,Connecticut,60456,41.536498,-72.801901,585
